,ethnicity,gender,county,employment_status,primary_language,household_size,education,age
1853,hispanic-black,female,Marion County,unemployed,english,1,high school,38
1854,Native American and Alaskan Native,female,Jefferson County,employed,english,NA,high school,21
1855,white,female,Lafayette County,unemployed,english,1,some university,36
1856,caucasion,female,Holmes County,employed,english,4,less than high school,50
1857,Native American,male,Nassau County,employed,english,3,high school,57
1858,hispanic-white,female,Hamilton County,employed,english,1,some university,45
1859,white,male,Holmes County,employed,english,1,high school,38
1860,Asian,female,Glades County,employed,english,1,high school,40
1861,hispanic-black,female,Liberty County,employed,spanish,NA,some university,44
1862,caucasian,female,Jefferson County,employed,english,1,graduate degree,55
1863,hispanic-white,female,Wakulla County,unemployed,english,2,high school,24
1864,hispanic-white,male,Gulf County,employed,english,3,high school,59
1865,caucasian,female,Madison County,employed,english,2,high school,56
1866,hispanic-black,female,Gilchrist County,employed,english,3,high school,35
1867,Native American,female,Walton County,employed,english,1,high school,22
1868,caucasian,female,Glades County,employed,english,NA,less than high school,39
1869,white,female,Gulf County,employed,english,4,high school,37
1870,caucasion,male,Wakulla County,unemployed,spanish,NA,high school,30
1871,caucasian,female,Liberty County,employed,english,1,some university,55
1872,African American,male,Taylor County,employed,english,1,bachelor's degree,28
1873,Other,male,Hardee County,employed,english,4,high school,43
1874,black,female,Liberty County,employed,english,1,high school,52
1875,hispanic-white,female,Gulf County,employed,english,NA,associate's degree,34
1876,hispanic-black,female,Union County,employed,english,2,high school,42
1877,caucasian,female,Hamilton County,employed,english,1,less than high school,53
1878,black,male,Walton County,employed,english,2,high school,39
1879,caucasion,male,Union County,employed,english,4,high school,45
1880,Other,female,Calhoun County,employed,english,3,some university,53
1881,Other,female,Gulf County,unemployed,english,1,graduate degree,33
1882,hispanic-white,female,Union County,employed,english,4,high school,23
1883,caucasion,male,St. Lucie County,employed,spanish,1,less than high school,44
1884,hispanic-black,male,Gulf County,employed,english,NA,high school,41
1885,white,female,Gulf County,employed,english,1,less than high school,36
1886,hispanic-black,female,Walton County,employed,english,2,high school,28
1887,caucasion,female,Taylor County,employed,english,4,bachelor's degree,47
1888,hispanic-black,female,Madison County,employed,english,3,some university,44
1889,white,male,Dixie County,employed,english,1,some university,54
1890,hispanic-white,male,Gadsden County,employed,english,1,high school,37
1891,African American,male,Hendry County,employed,english,NA,high school,53
1892,caucasion,male,Jefferson County,employed,english,NA,high school,39
1893,caucasion,male,Lafayette County,unemployed,english,NA,high school,53
1894,Native American,female,Holmes County,employed,english,1,trade school or other certification,54
1895,hispanic-black,female,Gilchrist County,employed,english,1,high school,57
1896,caucasian,female,Suwannee County,employed,english,NA,bachelor's degree,41
1897,caucasian,male,Wakulla County,employed,other,1,high school,38
1898,hispanic-white,female,Sumter County,employed,english,1,some university,27
1899,white,female,Union County,employed,english,NA,associate's degree,39
1900,black,female,Hamilton County,employed,english,1,high school,20
1901,hispanic-black,female,Jefferson County,employed,english,1,high school,32
1902,caucasion,female,Lafayette County,employed,english,1,high school,57
1903,African American,female,Lafayette County,employed,english,1,high school,49
1904,Asian,male,Suwannee County,employed,english,1,high school,20
1905,hispanic-black,male,Union County,employed,english,2,bachelor's degree,58
1906,hispanic-black,female,Gilchrist County,employed,english,4,bachelor's degree,29
1907,Pacific Islander,female,Gilchrist County,employed,english,1,associate's degree,49
1908,hispanic-white,male,Madison County,employed,spanish,3,high school,46
1909,caucasion,female,Madison County,employed,english,1,less than high school,54
1910,Other,male,Bradford County,employed,english,1,less than high school,44
1911,caucasion,female,Glades County,employed,english,NA,high school,29
1912,caucasion,male,Washington County,employed,english,3,less than high school,56
1913,caucasian,female,Jefferson County,employed,english,NA,high school,45
1914,hispanic-black,female,Hamilton County,employed,english,3,less than high school,38
1915,caucasion,female,Suwannee County,employed,english,1,high school,36
1916,caucasian,female,Holmes County,employed,other,1,high school,41
1917,black,male,Jackson County,employed,english,2,high school,50
1918,African American,female,Liberty County,employed,english,1,bachelor's degree,43
1919,caucasion,female,Putnam County,employed,english,1,associate's degree,44
1920,caucasion,male,Holmes County,employed,english,1,high school,54
1921,white,female,Dixie County,employed,spanish,NA,high school,23
1922,hispanic-white,female,Monroe County,unemployed,english,1,associate's degree,52
1923,hispanic-black,female,Suwannee County,employed,english,3,bachelor's degree,41
1924,white,male,Dixie County,employed,english,2,high school,47
1925,hispanic-black,male,Gulf County,employed,english,4,high school,39
1926,hispanic-black,male,Hamilton County,employed,english,1,some university,26
1927,caucasian,female,Baker County,employed,english,1,high school,58
1928,hispanic-white,female,Madison County,employed,spanish,1,high school,30
1929,caucasion,male,Union County,unemployed,spanish,NA,high school,38
1930,caucasion,female,Union County,unemployed,english,1,high school,55
1931,black,male,Washington County,employed,english,1,graduate degree,44
1932,caucasion,female,Lafayette County,employed,english,1,high school,58
1933,hispanic-white,male,Liberty County,employed,english,NA,associate's degree,49
1934,hispanic-black,male,Glades County,employed,english,2,less than high school,31
1935,Native American and Alaskan Native,female,Hamilton County,employed,english,1,high school,25
1936,hispanic-black,female,Gadsden County,employed,english,NA,high school,60
1937,Native American,female,Hamilton County,employed,english,3,associate's degree,44
1938,hispanic-black,female,Franklin County,employed,english,4,some university,41
1939,hispanic-black,female,Lee County,employed,other,1,high school,42
1940,hispanic-black,female,Columbia County,employed,spanish,1,some university,27
1941,caucasian,female,Holmes County,employed,other,1,some university,34
1942,caucasion,male,Gadsden County,employed,spanish,NA,less than high school,41
1943,hispanic-white,female,Baker County,employed,english,1,high school,58
1944,white,male,Calhoun County,employed,english,1,associate's degree,40
1945,black,female,Wakulla County,employed,english,4,high school,37
1946,white,female,Calhoun County,employed,english,1,high school,55
1947,black,female,Citrus County,employed,english,1,bachelor's degree,27
1948,Native American and Alaskan Native,male,Washington County,employed,english,1,bachelor's degree,56
1949,white,male,Gadsden County,employed,english,1,bachelor's degree,55
1950,caucasion,male,Hendry County,employed,english,2,bachelor's degree,39
1951,caucasion,female,Levy County,unemployed,spanish,1,trade school or other certification,47
1952,caucasion,female,Glades County,employed,english,1,associate's degree,57
1953,Native American,male,Liberty County,employed,english,1,associate's degree,32
1954,white,male,Lafayette County,employed,english,1,high school,52
1955,black,female,Taylor County,employed,english,NA,high school,39
1956,Native American,female,Washington County,employed,english,4,some university,28
1957,white,female,Liberty County,employed,other,3,high school,20
1958,caucasion,male,Charlotte County,employed,english,NA,graduate degree,21
1959,caucasion,female,Liberty County,unemployed,english,1,some university,42
1960,hispanic-white,female,Union County,employed,english,NA,high school,42
1961,white,female,Lafayette County,employed,english,NA,high school,25
1962,hispanic-black,female,Union County,employed,english,4,some university,45
1963,hispanic-white,female,Suwannee County,employed,english,1,high school,25
1964,hispanic-white,female,Calhoun County,unemployed,english,1,high school,28
1965,hispanic-white,male,Volusia County,employed,english,1,high school,49
1966,Pacific Islander,female,Liberty County,employed,english,1,high school,59
1967,hispanic-black,female,Union County,employed,english,1,high school,51
1968,hispanic-black,female,Jefferson County,unemployed,english,1,bachelor's degree,57
1969,hispanic-white,female,Hendry County,unemployed,english,2,high school,49
1970,caucasian,female,Franklin County,employed,english,1,associate's degree,40
1971,Asian,male,Glades County,employed,english,4,bachelor's degree,29
1972,African American,female,Hardee County,employed,english,1,bachelor's degree,47
1973,hispanic-black,female,Holmes County,employed,english,3,high school,32
1974,caucasion,female,Calhoun County,employed,english,1,high school,59
1975,caucasian,female,Hendry County,employed,english,2,some university,53
1976,Native American and Alaskan Native,female,Baker County,unemployed,english,1,high school,26
1977,caucasion,female,Calhoun County,employed,spanish,1,associate's degree,31
1978,Native American,male,Highlands County,employed,english,1,high school,20
1979,caucasion,female,Lafayette County,employed,english,2,high school,47
1980,caucasion,female,Glades County,employed,english,NA,high school,51
1981,caucasion,male,Pasco County,employed,english,1,bachelor's degree,45
1982,Native American,female,Union County,employed,english,1,high school,59
1983,white,female,Levy County,employed,english,1,high school,43
1984,hispanic-white,female,Gulf County,employed,english,1,high school,48
1985,hispanic-black,male,Lafayette County,employed,english,4,high school,57
1986,caucasion,male,Hamilton County,employed,spanish,1,high school,42
1987,Other,male,Lafayette County,employed,spanish,NA,bachelor's degree,48
1988,hispanic-black,female,Glades County,employed,english,NA,high school,44
1989,Other,male,Lafayette County,employed,english,1,high school,50
1990,Asian,female,Taylor County,employed,english,3,some university,43
1991,caucasian,female,Washington County,unemployed,english,1,high school,55
1992,Asian,female,Union County,employed,english,2,some university,58
1993,hispanic-white,male,Dixie County,employed,spanish,1,some university,35
1994,caucasian,female,Hamilton County,employed,spanish,1,some university,48
1995,caucasion,female,Glades County,employed,english,1,less than high school,53
1996,caucasian,female,Taylor County,unemployed,english,1,high school,58
1997,Asian,male,Flagler County,employed,english,1,bachelor's degree,43
1998,hispanic-white,female,Calhoun County,employed,english,2,high school,22
1999,hispanic-white,female,Liberty County,employed,spanish,NA,high school,36
2000,white,male,Gilchrist County,unemployed,english,1,some university,26
2001,hispanic-white,male,Jefferson County,employed,english,1,high school,60
2002,hispanic-white,female,Gilchrist County,employed,english,1,associate's degree,51
2003,hispanic-black,female,Holmes County,employed,english,NA,less than high school,42
2004,caucasion,female,Glades County,employed,english,3,less than high school,59
2005,caucasian,female,Hamilton County,employed,spanish,NA,high school,53
2006,Pacific Islander,female,Franklin County,employed,english,3,bachelor's degree,36
2007,Other,male,Lafayette County,employed,english,3,high school,31
2008,caucasion,female,Gadsden County,employed,english,1,some university,33
2009,Native American and Alaskan Native,female,Wakulla County,employed,english,2,bachelor's degree,36
2010,hispanic-black,female,Escambia County,unemployed,english,4,bachelor's degree,47
2011,caucasion,female,Glades County,unemployed,spanish,2,graduate degree,37
2012,caucasian,female,Madison County,employed,english,2,less than high school,40
2013,Other,female,Wakulla County,employed,english,1,bachelor's degree,27
2014,caucasion,female,Gulf County,employed,other,2,some university,56
2015,African American,male,DeSoto County,employed,english,1,graduate degree,34
2016,Native American,female,Union County,employed,english,1,high school,45
2017,Asian,female,Hamilton County,employed,english,4,high school,29
2018,caucasion,male,Palm Beach County,employed,english,1,high school,57
2019,African American,female,Union County,employed,english,NA,less than high school,36
2020,caucasian,male,Glades County,employed,english,NA,associate's degree,44
2021,white,female,Franklin County,employed,english,NA,associate's degree,27
2022,hispanic-white,female,Franklin County,employed,english,2,high school,51
2023,black,male,Columbia County,employed,english,1,less than high school,45
2024,white,female,Dixie County,employed,spanish,1,less than high school,59
2025,Asian,male,Suwannee County,employed,spanish,1,bachelor's degree,40
2026,hispanic-white,male,Gulf County,employed,english,1,high school,30
2027,caucasion,female,Glades County,employed,english,1,less than high school,25
2028,caucasion,male,Charlotte County,employed,english,NA,high school,46
2029,caucasion,female,Lafayette County,employed,english,4,high school,32
2030,hispanic-white,female,Liberty County,employed,english,NA,high school,42
2031,African American,male,Franklin County,employed,english,4,bachelor's degree,25
2032,Native American,male,Liberty County,unemployed,english,1,bachelor's degree,42
2033,Other,male,Gulf County,employed,english,1,less than high school,29
2034,white,female,Putnam County,employed,english,NA,graduate degree,39
2035,hispanic-white,female,Flagler County,employed,english,4,some university,22
2036,caucasion,male,Gulf County,employed,english,3,high school,39
2037,hispanic-black,female,Madison County,employed,english,4,some university,30
2038,hispanic-white,male,Franklin County,employed,english,NA,high school,48
2039,Asian,male,Gulf County,employed,english,1,high school,48
2040,Pacific Islander,female,Jefferson County,employed,english,1,some university,59
2041,hispanic-black,female,Calhoun County,employed,english,1,high school,33
2042,Native American and Alaskan Native,male,Martin County,employed,english,1,some university,45
2043,hispanic-white,male,Holmes County,employed,english,1,bachelor's degree,36
2044,Asian,male,Highlands County,employed,other,1,high school,35
2045,Native American and Alaskan Native,female,Holmes County,employed,spanish,4,less than high school,60
2046,hispanic-black,female,Lafayette County,employed,english,NA,high school,47
2047,Other,male,Hardee County,employed,english,3,high school,41
2048,hispanic-white,female,Liberty County,employed,english,NA,high school,52
2049,black,female,Levy County,employed,english,1,high school,24
2050,Native American,female,Bradford County,employed,english,NA,graduate degree,28
2051,Native American,male,Franklin County,employed,english,1,associate's degree,37
2052,Native American and Alaskan Native,female,Gilchrist County,unemployed,english,NA,bachelor's degree,21
2053,hispanic-black,female,Holmes County,employed,english,1,high school,54
2054,black,female,Liberty County,employed,english,1,less than high school,40
2055,white,female,Franklin County,employed,english,1,high school,24
2056,hispanic-white,female,Dixie County,unemployed,english,4,high school,40
2057,hispanic-white,female,Washington County,employed,english,1,high school,25
2058,hispanic-white,female,Gilchrist County,employed,english,1,graduate degree,24
2059,Other,male,Dixie County,employed,english,1,associate's degree,38
2060,Native American,female,Jefferson County,employed,english,1,some university,51
2061,white,female,Liberty County,employed,english,4,bachelor's degree,32
2062,white,female,Liberty County,employed,english,1,high school,55
2063,asian,female,Hendry County,employed,spanish,1,some university,37
2064,Native American and Alaskan Native,male,Walton County,employed,english,2,some university,47
2065,hispanic-black,male,Franklin County,employed,english,4,less than high school,47
2066,white,male,Hamilton County,employed,other,NA,some university,60
2067,hispanic-white,female,Hardee County,employed,english,2,trade school or other certification,36
2068,caucasian,female,Lafayette County,employed,spanish,1,high school,22
2069,caucasian,male,Baker County,employed,spanish,NA,high school,50
2070,caucasian,female,Union County,employed,english,1,trade school or other certification,51
2071,white,male,Nassau County,employed,english,4,high school,36
2072,caucasion,female,Columbia County,employed,spanish,2,high school,29
2073,black,female,Gulf County,employed,english,2,bachelor's degree,31
2074,white,male,Martin County,unemployed,spanish,1,less than high school,45
2075,hispanic-white,female,Lafayette County,employed,english,1,high school,20
2076,caucasian,male,Liberty County,employed,english,1,some university,44
2077,caucasian,female,Madison County,employed,english,3,high school,30
2078,caucasion,female,Lafayette County,employed,english,4,high school,33
2079,caucasion,female,Calhoun County,employed,english,1,high school,39
2080,caucasion,female,Suwannee County,employed,english,1,high school,23
2081,African American,female,Lafayette County,employed,english,3,some university,24
2082,hispanic-black,female,Monroe County,employed,english,3,some university,51
2083,caucasion,male,Bradford County,employed,english,1,high school,40
2084,caucasion,female,Franklin County,employed,spanish,1,high school,32
2085,caucasion,male,Union County,employed,english,1,bachelor's degree,23
2086,caucasion,male,Franklin County,employed,english,3,high school,55
2087,Native American and Alaskan Native,male,Jefferson County,employed,english,1,high school,30
2088,hispanic-white,female,Gulf County,employed,spanish,NA,graduate degree,31
2089,hispanic-white,female,Marion County,employed,spanish,3,high school,33
2090,white,male,Okeechobee County,employed,english,1,bachelor's degree,54
2091,hispanic-black,male,Gulf County,employed,english,4,high school,37
2092,Pacific Islander,female,Dixie County,employed,spanish,1,less than high school,32
2093,white,female,Union County,employed,english,1,some university,53
2094,caucasion,female,Dixie County,employed,english,1,high school,48
2095,Native American,female,Gilchrist County,employed,spanish,1,high school,54
2096,white,male,Baker County,employed,english,1,associate's degree,44
2097,hispanic-black,female,Liberty County,employed,other,1,bachelor's degree,31
2098,white,female,Hamilton County,employed,english,1,high school,24
2099,caucasion,female,Franklin County,employed,english,NA,high school,44
2100,Other,male,Charlotte County,unemployed,english,NA,some university,37
2101,caucasian,male,Lafayette County,employed,spanish,1,bachelor's degree,37
2102,white,female,Liberty County,employed,english,3,high school,45
2103,white,female,Hamilton County,employed,english,3,some university,24
2104,hispanic-white,female,Okeechobee County,employed,english,3,trade school or other certification,24
2105,Pacific Islander,female,Jefferson County,employed,english,NA,some university,26
2106,caucasion,female,Lafayette County,unemployed,english,1,trade school or other certification,21
2107,white,female,Gilchrist County,employed,english,2,high school,27
2108,Native American and Alaskan Native,male,Hardee County,employed,english,NA,some university,30
2109,hispanic-white,female,Calhoun County,employed,english,NA,high school,48
2110,hispanic-white,female,Union County,employed,english,NA,high school,29
2111,caucasion,male,Hamilton County,unemployed,english,1,high school,60
2112,black,female,Gilchrist County,employed,english,4,bachelor's degree,49
2113,white,female,Hamilton County,employed,english,1,some university,56
2114,black,female,Liberty County,unemployed,english,1,some university,25
2115,hispanic-white,female,Bay County,employed,english,3,associate's degree,40
2116,caucasion,female,Calhoun County,employed,english,2,bachelor's degree,42
2117,caucasion,male,Calhoun County,employed,spanish,4,associate's degree,37
2118,caucasion,male,Calhoun County,employed,english,1,high school,54
2119,white,female,Gulf County,employed,english,2,high school,22
2120,hispanic-white,female,Holmes County,unemployed,spanish,4,high school,22
2121,caucasion,female,Calhoun County,employed,english,2,high school,27
2122,hispanic-white,female,Hamilton County,employed,english,1,bachelor's degree,59
2123,white,female,Columbia County,employed,english,1,high school,27
2124,African American,female,Volusia County,unemployed,english,NA,bachelor's degree,24
2125,caucasion,female,Gilchrist County,employed,english,4,high school,24
2126,Native American,female,Washington County,employed,spanish,2,some university,25
2127,white,female,Gulf County,employed,other,NA,high school,46
2128,Asian,female,Washington County,employed,english,4,some university,36
2129,Native American and Alaskan Native,male,Dixie County,employed,english,2,less than high school,30
2130,hispanic-white,female,Baker County,unemployed,english,2,high school,22
2131,caucasian,female,Gulf County,employed,english,1,high school,42
2132,caucasion,male,Calhoun County,employed,spanish,NA,high school,48
2133,Native American and Alaskan Native,female,Gulf County,unemployed,english,4,less than high school,51
2134,white,male,Suwannee County,employed,other,3,associate's degree,58
2135,caucasion,female,Liberty County,unemployed,english,1,high school,29
2136,hispanic-white,male,Hardee County,unemployed,english,3,less than high school,30
2137,black,female,Holmes County,employed,spanish,3,high school,33
2138,Native American,female,Gilchrist County,employed,english,1,associate's degree,47
2139,hispanic-white,male,Gadsden County,employed,english,1,high school,29
2140,caucasian,male,Calhoun County,employed,english,1,high school,46
2141,hispanic-white,female,Union County,employed,english,4,less than high school,59
2142,caucasion,female,Jefferson County,employed,english,2,some university,53
2143,Native American and Alaskan Native,female,Lafayette County,employed,english,1,high school,44
2144,Other,female,Gilchrist County,employed,english,1,high school,31
2145,African American,male,Union County,employed,english,3,graduate degree,37
2146,hispanic-black,female,Union County,employed,spanish,1,high school,33
2147,white,female,Franklin County,unemployed,english,NA,graduate degree,43
2148,hispanic-white,female,Wakulla County,employed,english,1,graduate degree,27
2149,hispanic-black,female,Lafayette County,employed,english,1,high school,60
2150,hispanic-black,male,Suwannee County,employed,english,2,less than high school,57
2151,hispanic-white,female,Osceola County,employed,english,2,less than high school,53
2152,hispanic-white,female,Hendry County,employed,english,1,high school,27
2153,hispanic-white,female,Franklin County,employed,english,1,high school,31
2154,African American,male,Glades County,employed,english,2,trade school or other certification,32
2155,caucasian,male,Jefferson County,employed,english,1,some university,51
2156,African American,male,Hardee County,employed,english,2,high school,57
2157,Native American and Alaskan Native,male,Hendry County,employed,english,1,associate's degree,59
2158,hispanic-white,male,Glades County,employed,spanish,4,high school,27
2159,African American,female,Lafayette County,unemployed,english,2,less than high school,22
2160,caucasion,male,Madison County,employed,english,1,trade school or other certification,29
2161,Other,female,Liberty County,employed,english,4,trade school or other certification,28
2162,white,male,Glades County,employed,english,1,bachelor's degree,43
2163,white,female,Holmes County,employed,english,NA,less than high school,53
2164,caucasion,female,Columbia County,employed,english,4,high school,35
2165,hispanic-white,female,Dixie County,employed,english,NA,high school,34
2166,white,female,Liberty County,employed,english,NA,bachelor's degree,26
2167,Asian,female,Putnam County,employed,english,NA,high school,39
2168,hispanic-white,female,Hendry County,employed,english,4,high school,48
2169,caucasion,female,Marion County,employed,english,1,high school,41
2170,caucasian,female,Lafayette County,employed,english,1,some university,22
2171,Asian,male,Wakulla County,employed,english,4,high school,54
2172,black,female,Taylor County,employed,other,2,associate's degree,33
2173,African American,male,Union County,employed,english,1,associate's degree,39
2174,hispanic-white,female,Putnam County,employed,english,4,some university,40
2175,hispanic-white,female,Calhoun County,employed,english,NA,high school,28
2176,African American,female,Walton County,employed,spanish,NA,less than high school,37
2177,Native American and Alaskan Native,female,Hamilton County,employed,english,1,high school,23
2178,African American,female,Liberty County,employed,english,1,less than high school,52
2179,white,male,Leon County,employed,english,4,high school,36
2180,Other,female,Union County,employed,english,4,high school,26
2181,caucasion,female,Gilchrist County,employed,english,NA,less than high school,28
2182,hispanic-black,male,Franklin County,employed,english,1,graduate degree,34
2183,Pacific Islander,female,Liberty County,employed,english,1,bachelor's degree,48
2184,Native American,female,Hardee County,employed,english,2,high school,22
2185,hispanic-black,female,Bay County,employed,english,1,associate's degree,59
2186,hispanic-white,female,Baker County,unemployed,english,1,high school,59
2187,Asian,male,Glades County,employed,english,NA,high school,52
2188,Native American,male,Gilchrist County,employed,english,NA,less than high school,39
2189,Native American and Alaskan Native,female,Taylor County,unemployed,english,1,high school,45
2190,hispanic-white,female,Liberty County,unemployed,english,1,some university,30
2191,hispanic-white,male,Glades County,employed,english,NA,high school,20
2192,Asian,female,Calhoun County,employed,english,2,associate's degree,29
2193,hispanic-black,female,Flagler County,unemployed,spanish,1,some university,59
2194,black,female,Glades County,employed,spanish,NA,trade school or other certification,47
2195,hispanic-black,female,Putnam County,unemployed,english,1,high school,60
2196,caucasian,female,Franklin County,employed,english,1,bachelor's degree,23
2197,white,female,Franklin County,employed,english,1,trade school or other certification,46
2198,hispanic-black,male,DeSoto County,employed,english,4,some university,54
2199,hispanic-white,female,Union County,employed,english,1,high school,44
2200,black,male,Hardee County,unemployed,english,2,high school,55
2201,asian,female,Calhoun County,employed,english,1,associate's degree,33
2202,hispanic-white,female,Osceola County,employed,english,1,high school,44
2203,caucasian,female,Gadsden County,employed,english,4,high school,29
2204,hispanic-black,male,Washington County,employed,english,NA,bachelor's degree,34
2205,caucasion,male,Union County,employed,english,1,high school,53
2206,white,female,Gilchrist County,employed,english,2,high school,54
2207,hispanic-white,female,Franklin County,employed,english,1,less than high school,44
2208,Native American,male,Calhoun County,employed,english,1,high school,30
2209,hispanic-black,female,Gilchrist County,employed,english,1,less than high school,50
2210,hispanic-white,female,Gilchrist County,employed,english,1,high school,41
2211,hispanic-white,female,Columbia County,employed,spanish,1,less than high school,28
2212,hispanic-white,female,Brevard County,employed,english,4,bachelor's degree,56
2213,white,female,Madison County,unemployed,english,2,bachelor's degree,45
2214,Native American and Alaskan Native,male,Bradford County,employed,english,1,trade school or other certification,31
2215,Pacific Islander,male,Okeechobee County,employed,english,1,high school,57
2216,caucasion,male,Gilchrist County,employed,english,3,high school,22
2217,caucasian,female,Liberty County,employed,english,1,trade school or other certification,25
2218,hispanic-white,male,Taylor County,unemployed,english,1,high school,29
2219,caucasion,female,Bay County,employed,other,2,some university,47
2220,hispanic-black,female,Hamilton County,employed,english,2,high school,22
2221,caucasion,male,Bradford County,employed,english,4,high school,44
2222,Pacific Islander,female,Calhoun County,employed,english,1,some university,33
2223,hispanic-black,male,Lafayette County,employed,english,1,high school,28
2224,Native American,female,Gulf County,employed,english,1,high school,51
2225,Pacific Islander,female,Putnam County,employed,spanish,1,high school,36
2226,caucasion,female,Calhoun County,employed,english,NA,high school,29
2227,hispanic-white,female,Gulf County,employed,english,1,associate's degree,34
2228,Native American,female,Hernando County,unemployed,english,1,high school,38
2229,hispanic-white,female,Franklin County,employed,spanish,1,high school,50
2230,caucasion,female,Hamilton County,employed,english,3,trade school or other certification,34
2231,white,male,Sumter County,employed,spanish,2,graduate degree,25
2232,Pacific Islander,male,Glades County,employed,english,1,some university,44
2233,Pacific Islander,male,Nassau County,employed,english,NA,bachelor's degree,42
2234,white,male,Lafayette County,unemployed,other,1,high school,26
2235,white,female,Putnam County,employed,english,4,high school,60
2236,hispanic-white,female,Lafayette County,employed,other,1,high school,53
2237,African American,female,Lafayette County,unemployed,english,1,high school,55
2238,hispanic-white,female,Holmes County,employed,english,NA,high school,20
2239,caucasion,female,Hamilton County,employed,english,4,trade school or other certification,33
2240,caucasion,male,Gadsden County,employed,english,3,high school,40
2241,hispanic-white,male,Dixie County,unemployed,spanish,1,some university,51
2242,black,female,Hamilton County,employed,spanish,1,trade school or other certification,58
2243,caucasian,female,Hardee County,employed,english,1,graduate degree,49
2244,Asian,female,Washington County,employed,english,4,associate's degree,40
2245,Native American and Alaskan Native,male,Monroe County,employed,english,1,trade school or other certification,38
2246,caucasion,female,Glades County,unemployed,english,2,some university,30
2247,caucasion,female,Gulf County,employed,english,1,high school,35
2248,hispanic-white,female,Liberty County,employed,english,NA,some university,27
2249,Native American and Alaskan Native,female,Bradford County,employed,english,NA,high school,58
2250,caucasion,female,Okeechobee County,unemployed,english,2,high school,46
2251,Native American,female,Gulf County,employed,english,NA,high school,36
2252,caucasion,male,Gilchrist County,employed,english,1,graduate degree,48
2253,white,female,Jefferson County,employed,english,NA,some university,54
2254,Pacific Islander,female,Lafayette County,employed,english,1,high school,40
2255,asian,female,Dixie County,employed,english,3,high school,23
2256,Asian,male,Hendry County,employed,spanish,NA,high school,44
2257,hispanic-white,female,Jackson County,employed,other,1,high school,40
2258,white,female,Holmes County,employed,english,1,high school,54
2259,caucasion,male,Lafayette County,employed,english,1,high school,60
2260,caucasion,female,Gulf County,unemployed,english,3,less than high school,46
2261,Pacific Islander,female,Suwannee County,unemployed,english,2,bachelor's degree,53
2262,black,female,Union County,employed,spanish,1,graduate degree,36
2263,African American,female,Hamilton County,unemployed,english,2,high school,53
2264,hispanic-white,female,Hardee County,employed,spanish,1,less than high school,20
2265,Asian,female,Monroe County,employed,english,2,associate's degree,40
2266,caucasion,female,Madison County,employed,english,1,high school,53
2267,white,female,Franklin County,employed,english,1,high school,55
2268,Asian,male,Union County,employed,english,1,high school,42
2269,hispanic-white,male,Union County,employed,english,1,associate's degree,20
2270,Native American,male,Jefferson County,employed,english,2,bachelor's degree,29
2271,hispanic-white,female,Madison County,employed,english,1,graduate degree,40
2272,white,female,Jefferson County,employed,english,NA,less than high school,56
2273,caucasian,male,Holmes County,employed,english,NA,high school,38
2274,hispanic-white,female,Hamilton County,employed,english,1,associate's degree,49
2275,Native American,male,Holmes County,employed,english,1,less than high school,35
2276,Native American and Alaskan Native,male,Calhoun County,employed,english,3,high school,20
2277,caucasion,female,Gadsden County,employed,english,NA,high school,30
2278,caucasion,female,Jefferson County,unemployed,english,NA,less than high school,22
2279,hispanic-black,male,Holmes County,employed,english,NA,some university,54
2280,caucasion,female,Jefferson County,employed,english,1,high school,52
2281,caucasian,female,Gulf County,employed,english,1,less than high school,49
2282,caucasian,female,Okeechobee County,employed,english,1,high school,26
2283,hispanic-white,female,Union County,employed,english,1,graduate degree,41
2284,white,male,Jefferson County,employed,english,1,bachelor's degree,47
2285,hispanic-white,female,Jefferson County,employed,english,NA,high school,55
2286,hispanic-white,male,Hamilton County,employed,english,1,bachelor's degree,48
2287,hispanic-white,male,Madison County,employed,english,NA,associate's degree,22
2288,black,female,Hardee County,employed,english,1,high school,32
2289,black,female,Clay County,employed,english,NA,bachelor's degree,32
2290,hispanic-black,female,Jefferson County,employed,spanish,4,graduate degree,43
2291,caucasion,female,Holmes County,employed,english,1,high school,58
2292,caucasion,male,Lafayette County,employed,english,NA,high school,45
2293,caucasion,female,Union County,employed,english,1,less than high school,51
2294,hispanic-white,female,Lafayette County,employed,english,1,bachelor's degree,36
2295,asian,female,Madison County,employed,english,1,high school,23
2296,Native American and Alaskan Native,male,Liberty County,employed,english,2,high school,28
2297,hispanic-black,male,Wakulla County,employed,english,1,bachelor's degree,40
2298,caucasion,female,Flagler County,employed,english,3,graduate degree,59
2299,black,female,Hamilton County,employed,english,2,some university,20
2300,African American,female,Gilchrist County,employed,english,1,associate's degree,39
2301,hispanic-black,female,Citrus County,employed,english,1,associate's degree,58
2302,hispanic-black,male,Highlands County,employed,spanish,3,less than high school,41
2303,white,female,Santa Rosa County,unemployed,english,3,bachelor's degree,25
2304,hispanic-white,male,Jackson County,employed,english,1,high school,29
2305,hispanic-white,female,Columbia County,employed,english,1,high school,40
2306,black,female,Gilchrist County,employed,english,1,high school,30
2307,African American,female,Washington County,employed,english,2,high school,21
2308,caucasion,male,Hardee County,employed,english,NA,high school,27
2309,hispanic-white,female,Jefferson County,employed,english,NA,associate's degree,37
2310,hispanic-white,female,DeSoto County,unemployed,spanish,1,some university,40
2311,caucasian,female,Hamilton County,employed,spanish,1,high school,56
